score,content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
1,"buka aplikasi langsung di arahkan ke menu live. sedangkan live streaming itu boros data & baterai. bagi yang punya wifi atau punya kuota banyak tidak masalah, namun bagaimana dengan yang tidak punya wifi dan kuota sangat terbatas? saingan dengan live shop aplikasi lain user jadi tumbal.",Negatif,buka aplikasi langsung di arahkan ke menu live sedangkan live streaming itu boros data  baterai bagi yang punya wifi atau punya kuota banyak tidak masalah namun bagaimana dengan yang tidak punya wifi dan kuota sangat terbatas saingan dengan live shop aplikasi lain user jadi tumbal,buka aplikasi langsung arahkan menu live live streaming boros data baterai wifi kuota wifi kuota terbatas saingan live shop aplikasi user tumbal,"['buka', 'aplikasi', 'langsung', 'arahkan', 'menu', 'live', 'live', 'streaming', 'boros', 'data', 'baterai', 'wifi', 'kuota', 'wifi', 'kuota', 'terbatas', 'saingan', 'live', 'shop', 'aplikasi', 'user', 'tumbal']",buka aplikasi langsung arah menu live live streaming boros data baterai wifi kuota wifi kuota batas saing live shop aplikasi user tumbal
5,"Sejauh ini belum ada masalah berarti, hanya saja kadang setelah meninggalkan app di posisi Shopee Live/Video, membuka app lagi akan kembali ke Live/Video dan pindah ke tab lainnya video/live tetap akan berjalan.",Positif,sejauh ini belum ada masalah berarti hanya saja kadang setelah meninggalkan app di posisi shopee livevideo membuka app lagi akan kembali ke livevideo dan pindah ke tab lainnya videolive tetap akan berjalan,kadang meninggalkan app posisi shopee livevideo membuka app livevideo pindah tab videolive berjalan,"['kadang', 'meninggalkan', 'app', 'posisi', 'shopee', 'livevideo', 'membuka', 'app', 'livevideo', 'pindah', 'tab', 'videolive', 'berjalan']",kadang tinggal app posisi shopee livevideo buka app livevideo pindah tab videolive jalan
1,"semenjak di perbarui,,kok jadi eror Shopee ???Nge bug,,,dan ngelag kadang tiba tiba keluar sendiri klw gini ,,kmgkinan banyak yg malas buka aplikasi Shopee tolonglah di perbaiki,,biar pengguna puas terimakasih",Negatif,semenjak di perbaruikok jadi eror shopee nge bugdan ngelag kadang tiba tiba keluar sendiri klw gini kmgkinan banyak yg malas buka aplikasi shopee tolonglah di perbaikibiar pengguna puas terimakasih,semenjak perbaruikok eror shopee nge bugdan ngelag kadang klw gini kmgkinan yg malas buka aplikasi shopee tolonglah perbaikibiar pengguna puas terimakasih,"['semenjak', 'perbaruikok', 'eror', 'shopee', 'nge', 'bugdan', 'ngelag', 'kadang', 'klw', 'gini', 'kmgkinan', 'yg', 'malas', 'buka', 'aplikasi', 'shopee', 'tolonglah', 'perbaikibiar', 'pengguna', 'puas', 'terimakasih']",semenjak perbaruikok eror shopee nge bugdan ngelag kadang klw gin kmgkinan yg malas buka aplikasi shopee tolong perbaikibiar guna puas terimakasih
2,"Udah ke 5x nya pesan nggk sampai ke tujuan, expedisi spx express sangat kecewa, status di kirim ke tempat tujuan... Tpi ga sampe, ujungnya barang di kembalikan, kembalikan jnt, klo gni geser ke app sblah",Negatif,udah ke x nya pesan nggk sampai ke tujuan expedisi spx express sangat kecewa status di kirim ke tempat tujuan tpi ga sampe ujungnya barang di kembalikan kembalikan jnt klo gni geser ke app sblah,udah x nya pesan nggk tujuan expedisi spx express kecewa status kirim tujuan tpi ga sampe ujungnya barang kembalikan kembalikan jnt klo gni geser app sblah,"['udah', 'x', 'nya', 'pesan', 'nggk', 'tujuan', 'expedisi', 'spx', 'express', 'kecewa', 'status', 'kirim', 'tujuan', 'tpi', 'ga', 'sampe', 'ujungnya', 'barang', 'kembalikan', 'kembalikan', 'jnt', 'klo', 'gni', 'geser', 'app', 'sblah']",udah x nya pesan nggk tuju expedisi spx express kecewa status kirim tuju tpi ga sampe ujung barang kembali kembali jnt klo gni geser app sblah
5,Aplikasi lumayan menguntungkan yaa. bisa nyari produk tertentu dgn harga termurah . Bnyak promo diskon dan gratis ongkir juga . Pokoknya aku seringkali diuntungkan sih pakai aplikasi shopee .,Positif,aplikasi lumayan menguntungkan yaa bisa nyari produk tertentu dgn harga termurah  bnyak promo diskon dan gratis ongkir juga  pokoknya aku seringkali diuntungkan sih pakai aplikasi shopee ,aplikasi lumayan menguntungkan yaa nyari produk dgn harga termurah bnyak promo diskon gratis ongkir pokoknya seringkali diuntungkan sih pakai aplikasi shopee,"['aplikasi', 'lumayan', 'menguntungkan', 'yaa', 'nyari', 'produk', 'dgn', 'harga', 'termurah', 'bnyak', 'promo', 'diskon', 'gratis', 'ongkir', 'pokoknya', 'seringkali', 'diuntungkan', 'sih', 'pakai', 'aplikasi', 'shopee']",aplikasi lumayan untung yaa nyari produk dgn harga murah bnyak promo diskon gratis ongkir pokok seringkali untung sih pakai aplikasi shopee
2,"Saran saya diubah system flash sale nya Yang dapat gk sesuai atau gak tepat Masa harus cepat pasti, yg handphone nya bagus dan fasilitas bagus seperti internet dan wifi yg super lancar yang selalu dapat, kasian mereka yang udah berusaha tapi gak dapet dapet krna kendala handphone ataupun internet yang kurang oke sarannya diganti system flash sale nya Biar yang gapunya hp atau hp nya jelek bisa dapat kesempatan juga Jadi gak nyesel download shoppe buat belanja dan segala macam nya",Negatif,saran saya diubah system flash sale nya yang dapat gk sesuai atau gak tepat masa harus cepat pasti yg handphone nya bagus dan fasilitas bagus seperti internet dan wifi yg super lancar yang selalu dapat kasian mereka yang udah berusaha tapi gak dapet dapet krna kendala handphone ataupun internet yang kurang oke sarannya diganti system flash sale nya biar yang gapunya hp atau hp nya jelek bisa dapat kesempatan juga jadi gak nyesel download shoppe buat belanja dan segala macam nya,saran diubah system flash sale nya gk sesuai gak cepat yg handphone nya bagus fasilitas bagus internet wifi yg super lancar kasian udah berusaha gak dapet dapet krna kendala handphone internet oke sarannya diganti system flash sale nya biar gapunya hp hp nya jelek kesempatan gak nyesel download shoppe belanja nya,"['saran', 'diubah', 'system', 'flash', 'sale', 'nya', 'gk', 'sesuai', 'gak', 'cepat', 'yg', 'handphone', 'nya', 'bagus', 'fasilitas', 'bagus', 'internet', 'wifi', 'yg', 'super', 'lancar', 'kasian', 'udah', 'berusaha', 'gak', 'dapet', 'dapet', 'krna', 'kendala', 'handphone', 'internet', 'oke', 'sarannya', 'diganti', 'system', 'flash', 'sale', 'nya', 'biar', 'gapunya', 'hp', 'hp', 'nya', 'jelek', 'kesempatan', 'gak', 'nyesel', 'download', 'shoppe', 'belanja', 'nya']",saran ubah system flash sale nya gk sesuai gak cepat yg handphone nya bagus fasilitas bagus internet wifi yg super lancar kasi udah usaha gak dapet dapet krna kendala handphone internet oke saran ganti system flash sale nya biar gapunya hp hp nya jelek sempat gak nyesel download shoppe belanja nya
5,"Aplikasi nya bgs² aja tp kalau bisa itu pas paket di anter ke alamat tujuan itu kalau bisa dikasih nama dan no hp kurir,soal nya biasanya kurir nya kalau nganter paket biasanya ga konfirmasi dulu ke pihak pembeli.terimakasihh",Positif,aplikasi nya bgs aja tp kalau bisa itu pas paket di anter ke alamat tujuan itu kalau bisa dikasih nama dan no hp kurirsoal nya biasanya kurir nya kalau nganter paket biasanya ga konfirmasi dulu ke pihak pembeliterimakasihh,aplikasi nya bgs aja tp pas paket anter alamat tujuan dikasih nama no hp kurirsoal nya kurir nya nganter paket ga konfirmasi pembeliterimakasihh,"['aplikasi', 'nya', 'bgs', 'aja', 'tp', 'pas', 'paket', 'anter', 'alamat', 'tujuan', 'dikasih', 'nama', 'no', 'hp', 'kurirsoal', 'nya', 'kurir', 'nya', 'nganter', 'paket', 'ga', 'konfirmasi', 'pembeliterimakasihh']",aplikasi nya bgs aja tp pas paket anter alamat tuju kasih nama no hp kurirsoal nya kurir nya nganter paket ga konfirmasi pembeliterimakasihh
4,Aplikasi ny bagus banget no tipu tipu kyk yg sebelah!!! Aku suka banget banyak diskon dan gratis ongkir paket pun cepat sampe. Cuman ini akun tiba-tiba hilang dan gk bisa masuk ke akun lama pas coba akun ini tidak berlaku di negara ini,Positif,aplikasi ny bagus banget no tipu tipu kyk yg sebelah aku suka banget banyak diskon dan gratis ongkir paket pun cepat sampe cuman ini akun tibatiba hilang dan gk bisa masuk ke akun lama pas coba akun ini tidak berlaku di negara ini,aplikasi ny bagus banget no tipu tipu kyk yg sebelah suka banget diskon gratis ongkir paket cepat sampe cuman akun tibatiba hilang gk masuk akun pas coba akun berlaku negara,"['aplikasi', 'ny', 'bagus', 'banget', 'no', 'tipu', 'tipu', 'kyk', 'yg', 'sebelah', 'suka', 'banget', 'diskon', 'gratis', 'ongkir', 'paket', 'cepat', 'sampe', 'cuman', 'akun', 'tibatiba', 'hilang', 'gk', 'masuk', 'akun', 'pas', 'coba', 'akun', 'berlaku', 'negara']",aplikasi ny bagus banget no tipu tipu kyk yg belah suka banget diskon gratis ongkir paket cepat sampe cuman akun tibatiba hilang gk masuk akun pas coba akun laku negara
1,"1. Setelah di update ke versi terbaru malah sering ngefreeze & ngelag. 2. yg menang flash sale itu hanya orang-orang yg gadgetnya spek dewa & jaringan bagus, gak adil bagi yg gadgetnya spek kentang, SANGAT TIDAK ADIL. 3. Ekpedisi Shopee Express tidak profesional, mengecewakan, bagusnya ditutup aja, jauh lebih baik J&T ketimbang SPX.",Negatif, setelah di update ke versi terbaru malah sering ngefreeze  ngelag  yg menang flash sale itu hanya orangorang yg gadgetnya spek dewa  jaringan bagus gak adil bagi yg gadgetnya spek kentang sangat tidak adil  ekpedisi shopee express tidak profesional mengecewakan bagusnya ditutup aja jauh lebih baik jt ketimbang spx,update versi terbaru ngefreeze ngelag yg menang flash sale orangorang yg gadgetnya spek dewa jaringan bagus gak adil yg gadgetnya spek kentang adil ekpedisi shopee express profesional mengecewakan bagusnya ditutup aja jt ketimbang spx,"['update', 'versi', 'terbaru', 'ngefreeze', 'ngelag', 'yg', 'menang', 'flash', 'sale', 'orangorang', 'yg', 'gadgetnya', 'spek', 'dewa', 'jaringan', 'bagus', 'gak', 'adil', 'yg', 'gadgetnya', 'spek', 'kentang', 'adil', 'ekpedisi', 'shopee', 'express', 'profesional', 'mengecewakan', 'bagusnya', 'ditutup', 'aja', 'jt', 'ketimbang', 'spx']",update versi baru ngefreeze ngelag yg menang flash sale orangorang yg gadgetnya spek dewa jaring bagus gak adil yg gadgetnya spek kentang adil ekpedisi shopee express profesional kecewa bagus tutup aja jt ketimbang spx
5,"Alhamdulillah saya puas dengan layanan Shopee. Ada gratis ongkir ada voucher,, pkoknya suka deh jadi mudah buat belanja gak capek2 LG mau cari baju di pasarrrr . Mending beli online aja GK ribet, semoga semua seller nya bisa amanah yaaa",Positif,alhamdulillah saya puas dengan layanan shopee ada gratis ongkir ada voucher pkoknya suka deh jadi mudah buat belanja gak capek lg mau cari baju di pasarrrr  mending beli online aja gk ribet semoga semua seller nya bisa amanah yaaa,alhamdulillah puas layanan shopee gratis ongkir voucher pkoknya suka deh mudah belanja gak capek lg cari baju pasarrrr mending beli online aja gk ribet semoga seller nya amanah yaaa,"['alhamdulillah', 'puas', 'layanan', 'shopee', 'gratis', 'ongkir', 'voucher', 'pkoknya', 'suka', 'deh', 'mudah', 'belanja', 'gak', 'capek', 'lg', 'cari', 'baju', 'pasarrrr', 'mending', 'beli', 'online', 'aja', 'gk', 'ribet', 'semoga', 'seller', 'nya', 'amanah', 'yaaa']",alhamdulillah puas layan shopee gratis ongkir voucher pkoknya suka deh mudah belanja gak capek lg cari baju pasarrrr mending beli online aja gk ribet moga seller nya amanah yaaa
